Gene	TCGA-A6-2682-01A	TCGA-A6-2683-01A	TCGA-A6-2685-01A	TCGA-A6-2686-01A	TCGA-A6-5662-01A	TCGA-A6-5667-11A	TCGA-AA-3489-11A	TCGA-AA-3496-11A	TCGA-AA-3511-11A	TCGA-AA-3514-11A
5S_rRNA	0	0	0	0	0	0	0	0	0	0
5_8S_rRNA	0	0	0	1	0	0	0	0	0	0
7SK	0	0	0	0	0	0	0	0	0	0
A1BG	0	1	1	9	3	9	3	3	9	7
A1BG-AS1	0	9	16	42	13	38	42	31	43	30
A1CF	211	113	239	688	1592	3025	819	1194	2959	3319
A2M	1676	1594	15867	13589	9684	22198	21781	33342	24265	25750
A2M-AS1	6	3	18	18	57	32	145	120	42	20
A2ML1	0	4	0	40	10	2	3	2	1	1
A2ML1-AS1	0	0	0	0	0	0	0	0	0	0
A2ML1-AS2	0	0	0	0	0	0	0	0	0	0
A2MP1	0	0	4	5	1	7	6	7	6	8
A3GALT2	0	0	0	0	0	0	0	0	2	1
A4GALT	152	42	481	1063	158	435	771	710	603	291
A4GNT	0	0	2	0	0	0	0	0	2	0
AA06	0	0	0	0	0	0	0	0	0	0
AAAS	681	991	890	1882	2984	1790	1203	981	1850	1920
AACS	869	2471	996	2617	1488	2488	1857	964	2921	2177
AACSP1	0	0	0	0	0	0	1	0	0	1
AADAC	36	0	587	192	90	0	2	4	5	5
AADACL2	0	0	4	0	2	8	24	34	3	10
AADACL2-AS1	1	0	7	1	4	0	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	1	1	0	0	0
AADACP1	41	2	212	285	335	52	48	55	97	121
AADAT	92	57	68	100	322	128	254	130	209	201
AAED1	79	35	178	583	266	276	473	283	207	220
AAGAB	687	438	1118	3611	452	2715	3141	1381	3221	3809
AAK1	864	178	810	999	1260	2340	558	824	2077	2296
AAMDC	325	210	496	827	812	691	737	538	533	577
AAMP	2140	4039	4279	5889	8349	6909	6365	3994	7304	9319
AANAT	2	0	7	23	12	5	0	1	12	4
AAR2	590	769	1333	2343	6040	1958	1872	1511	2042	1813
AARD	0	0	5	4	5	18	157	108	22	7
AARS	1611	5954	3839	8199	8750	3490	4020	3924	5540	6084
AARS2	168	736	374	751	921	1071	459	435	1104	1065
AARSD1	43	64	50	467	174	176	110	66	146	113
AARSP1	0	0	0	0	0	0	0	0	0	0
AASDH	134	48	186	842	456	475	358	278	514	476
AASDHPPT	271	136	391	1571	2344	911	1063	799	1175	933
AASS	27	17	56	203	107	186	125	114	170	110
AATBC	11	33	12	39	23	17	29	18	43	25
AATF	974	1027	1383	3098	3840	2209	1312	1312	2637	2423
AATK	70	25	156	626	881	1347	230	373	629	87
AATK-AS1	0	0	0	0	0	1	0	0	0	0
AB015752.3	0	0	0	4	0	0	0	0	0	0
AB019438.66	0	0	0	0	0	1	0	0	0	0
AB019440.50	0	0	0	0	0	0	0	0	0	0
AB019441.29	23	39	50	365	119	80	184	63	115	84
ABALON	20	11	74	54	151	17	22	14	15	15
ABAT	265	320	493	204	6602	2094	417	962	1793	3022
ABBA01017803.1	0	0	4	4	5	6	2	2	6	7
ABC12-47043100G14.2	0	0	0	0	0	0	0	0	0	0
ABC12-47964100C23.1	0	0	0	0	0	0	1	0	0	0
ABC12-49244600F4.4	0	0	0	0	0	0	0	0	0	0
ABC14-1080714F14.1	0	0	0	1	0	1	0	0	1	0
ABC7-42391500H16.2	0	0	0	0	0	0	0	0	0	0
ABC7-42418200C9.1	0	0	0	0	0	0	0	0	0	0
ABC7-43041300I9.1	0	0	0	9	1	1	1	0	0	0
ABC7-481722F1.1	0	0	0	0	0	0	0	0	0	0
ABCA1	146	112	693	1443	510	1660	857	1518	2110	2183
ABCA10	3	2	59	126	43	221	65	68	189	34
ABCA11P	5	0	2	44	96	34	38	34	60	24
ABCA12	17	13	0	20	10	5	10	8	21	0
ABCA13	10	1	8	54	19	15	10	47	12	53
ABCA17P	0	356	7	344	31	1	6	3	4	3
ABCA2	950	4395	1997	5085	8134	5627	792	1271	3749	1030
ABCA3	37	559	524	1769	439	589	452	733	657	265
ABCA4	3	2	11	6	4	25	15	17	26	5
ABCA5	120	36	280	1123	1134	2749	573	694	1957	1462
ABCA6	20	2	80	74	16	194	357	432	283	99
ABCA7	315	1520	904	1395	1428	993	166	193	1348	618
ABCA8	10	3	323	59	44	1763	1562	1985	2259	776
ABCA9	3	0	83	69	24	169	491	391	165	93
ABCA9-AS1	3	0	0	35	16	0	1	1	0	0
ABCB1	816	63	1191	323	1665	6939	775	2478	6042	6527
ABCB10	225	261	397	799	1700	1322	1276	818	1391	1744
ABCB10P1	0	0	1	2	1	1	1	0	0	1
ABCB10P3	0	0	0	0	0	0	0	0	0	0
ABCB10P4	0	0	0	0	0	0	0	0	1	0
ABCB11	0	0	4	3	0	88	10	68	66	114
ABCB4	14	2	49	46	220	114	56	54	177	65
ABCB5	0	0	11	2	3	8	11	142	21	8
ABCB6	60	254	45	122	189	114	93	84	96	131
ABCB7	434	361	666	1794	1093	1112	929	758	1098	1153
ABCB8	692	1376	1670	1868	1574	2154	1258	959	1556	2187
ABCB9	89	170	272	284	197	299	120	169	295	259
ABCC1	531	1101	2650	2794	3536	1814	1212	1421	2244	2112
ABCC10	331	1886	841	933	2032	1630	535	555	1332	1163
ABCC11	6	29	17	6	14	13	5	7	7	10
ABCC12	0	0	0	0	0	0	0	0	0	0
ABCC13	8	2	19	5	4	434	321	154	263	522
ABCC2	65	22	18	209	722	41	11	20	49	14
ABCC3	1764	4653	5200	3799	1680	19801	2583	4110	13331	11671
ABCC4	180	240	343	859	2570	1348	1182	1119	1823	875
ABCC5	227	582	633	1134	1285	1806	625	902	1908	566
ABCC5-AS1	0	0	0	1	0	0	0	2	0	0
ABCC6	88	159	185	248	668	1680	289	237	977	1173
ABCC6P1	16	5	19	67	332	180	136	39	157	79
ABCC6P2	9	12	12	23	143	72	56	40	90	58
ABCC8	5	2	19	5	3	102	46	42	157	31
ABCC9	43	5	217	199	154	101	530	929	79	53
ABCD1	246	928	676	780	861	1173	601	775	902	1069
ABCD1P2	0	1	0	0	0	0	0	0	0	0
ABCD1P3	0	0	0	0	0	0	0	0	0	0
ABCD1P4	0	0	1	0	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0	0	0	0	0
ABCD2	0	0	16	69	12	50	94	100	117	72
ABCD3	793	450	738	2803	1722	5635	3558	3001	5616	8753
ABCD4	498	805	948	3996	923	2671	1606	1029	2029	2190
ABCE1	615	188	801	3672	5889	1680	2844	1331	2517	2320
ABCF1	1085	2033	1773	2190	4813	4663	2335	2314	4603	4915
ABCF2	1061	1640	1953	4294	4122	2709	2264	1490	2620	2495
ABCF2P1	0	8	2	2	0	0	1	0	0	0
ABCF2P2	0	1	0	0	0	0	0	0	0	0
ABCF3	658	1558	1369	3097	2531	2761	1542	1193	2534	2863
ABCG1	517	1862	1787	1739	723	2130	730	1179	3451	2929
ABCG2	15	7	74	214	92	4009	298	740	2110	3183
ABCG4	2	3	8	7	2	11	20	10	9	6
ABCG5	3	16	17	311	2	1	16	10	8	17
ABCG8	0	11	4	161	2	3	13	16	32	13
ABHD1	7	10	8	62	20	3	15	7	11	3
ABHD10	367	343	448	1990	1649	1003	1616	900	1362	1198
ABHD11	1355	2088	3221	7102	3281	3929	2837	1271	3078	3639
ABHD11-AS1	212	104	753	1033	474	701	1002	355	298	1060
ABHD12	1416	2657	1926	4731	2970	3355	1942	1908	3495	4496
ABHD12B	31	50	10	13	1	125	75	56	13	11
ABHD13	197	86	277	711	3180	939	1241	717	1098	1143
ABHD14A	240	247	224	405	312	363	507	300	423	295
ABHD14A-ACY1	1	15	18	19	8	12	9	6	16	2
ABHD14B	1144	2722	2265	1706	7726	6317	3922	3067	6045	4197
ABHD15	146	335	467	687	842	1443	414	548	1263	1251
ABHD15-AS1	0	0	0	0	0	0	0	0	0	0
ABHD16A	93	105	174	313	472	489	435	186	421	401
ABHD16B	0	0	0	0	0	0	0	0	0	0
ABHD17A	384	2722	890	1939	1537	1652	1219	850	1351	1531
ABHD17AP1	2	18	3	8	3	3	6	2	0	8
ABHD17AP3	0	21	2	3	0	2	0	0	1	2
ABHD17AP4	1	2	3	6	2	0	3	2	0	0
ABHD17AP6	0	12	5	3	5	2	11	23	1	3
ABHD17AP9	0	0	0	0	0	0	0	0	0	0
ABHD17B	187	124	319	1973	1278	1799	1087	664	1274	1170
ABHD17C	1090	1383	2552	6097	8007	6703	3536	2906	5973	11614
ABHD2	2434	2366	11716	3871	14646	6078	3148	3309	7597	10934
ABHD3	236	183	521	2078	781	4838	4040	2242	5153	10020
ABHD4	407	286	691	5431	1318	1443	1095	1454	1330	1247
ABHD5	137	106	292	575	403	901	841	720	809	1642
ABHD6	188	237	412	467	585	1361	1101	829	969	1688
ABHD8	80	88	278	453	578	280	462	424	405	220
ABI1	822	977	1462	7742	6213	3442	4274	2504	4431	5460
ABI2	238	164	420	939	2951	1051	1440	1358	1218	779
ABI3	93	139	457	752	213	638	699	404	1136	1234
ABI3BP	61	21	332	281	151	2231	1616	2508	2663	815
ABL1	809	2281	2719	4364	5821	7987	4876	5331	6645	7130
ABL2	182	277	531	936	1271	900	500	508	869	680
ABLIM1	898	2948	2016	4430	10068	8643	3658	4901	11722	10066
ABLIM2	275	403	837	167	3621	614	293	232	588	745
ABLIM3	66	90	596	371	141	531	673	550	498	289
ABO	1025	2886	974	498	1358	12690	1055	1918	9942	2502
ABR	1582	4752	3255	8068	10648	15800	4060	5015	12538	13863
ABRA	0	0	2	0	0	0	5	2	2	1
ABRACL	650	382	937	4435	3761	2743	2606	1482	2261	3589
ABT1	748	1028	1321	2162	2871	1667	2139	1006	1588	1536
ABT1P1	0	1	0	0	0	0	0	0	0	0
ABTB1	322	575	1199	3526	2142	1233	874	1154	1238	516
ABTB2	109	836	1054	1146	2324	1828	361	235	1251	1596
AC000003.1	0	0	0	0	0	0	0	0	0	0
AC000029.1	0	0	0	1	0	0	0	0	0	0
AC000032.2	0	3	3	0	0	0	0	0	0	0
AC000036.4	0	0	0	1	0	0	0	0	1	0
AC000041.10	0	0	0	0	0	0	0	0	0	0
AC000041.8	0	0	0	0	0	0	0	0	0	1
AC000067.1	0	0	3	1	2	0	0	0	0	0
AC000068.10	0	8	3	5	4	9	5	1	12	7
AC000068.5	1	3	7	9	39	34	17	16	36	26
AC000068.9	0	0	0	0	0	0	0	0	0	0
AC000077.2	0	0	0	0	0	0	0	0	0	0
AC000078.5	1	8	2	8	1	10	2	6	8	1
AC000081.2	0	0	0	0	0	0	0	0	0	0
AC000089.3	8	45	16	124	66	46	64	20	266	27
AC000095.11	0	2	0	0	0	1	0	0	2	0
AC000095.9	0	0	0	0	0	0	0	0	0	0
AC000099.1	0	2	0	1	0	0	0	0	0	0
AC000110.1	0	4	2	0	1	0	2	0	0	0
AC000111.3	3	1	0	0	1	0	0	0	1	0
AC000111.4	0	0	0	0	0	2	1	0	2	1
AC000111.5	0	0	0	0	0	0	0	0	0	0
AC000111.6	1	0	2	3	3	4	0	2	6	3
AC000120.7	0	6	3	5	7	6	4	3	8	3
AC000123.2	17	18	26	53	108	124	62	57	156	103
AC000123.3	3	0	16	26	8	19	4	5	9	13
AC000123.4	2	2	13	33	15	28	7	13	29	27
AC000124.1	0	0	1	2	1	0	1	0	0	0
AC000354.1	0	0	0	0	0	0	0	0	0	0
AC000362.1	0	1	0	0	0	0	0	0	0	0
AC000367.1	0	0	0	0	0	0	0	0	1	0
AC000370.2	0	0	0	0	0	0	0	0	0	0
AC000374.1	0	0	0	0	0	0	0	0	0	0
AC000403.1	0	0	1	0	1	0	0	0	1	0
AC000403.4	2	1	16	17	8	84	42	34	114	7
AC001226.7	0	0	0	2	5	1	2	0	2	0
AC002044.1	0	1	6	0	2	1	0	1	0	3
AC002044.3	5	0	0	0	0	0	0	0	0	2
AC002044.4	0	1	2	0	0	0	0	0	0	2
AC002056.3	1	5	2	3	6	0	4	1	3	4
AC002056.5	0	0	0	2	0	0	0	0	0	0
AC002059.10	1	0	2	2	1	3	0	1	7	5
AC002064.4	0	0	0	8	0	3	1	0	0	0
AC002064.5	1	0	1	3	0	2	0	0	1	1
AC002064.7	0	0	0	2	0	0	0	0	0	0
AC002066.1	4	0	1	1	1	0	3	1	1	0
AC002069.5	0	1	0	1	0	0	1	0	3	5
AC002069.6	0	0	0	0	0	0	0	0	0	0
AC002070.1	0	0	0	1	0	0	0	0	0	0
AC002072.1	0	0	0	0	0	0	0	0	0	0
AC002075.3	0	0	0	0	0	0	0	0	0	0
AC002075.4	7	21	8	20	17	1	11	4	15	9
AC002076.10	0	0	0	8	4	0	0	1	0	0
AC002115.5	0	0	0	0	1	0	0	0	0	0
AC002115.9	0	0	0	0	0	1	0	0	1	0
AC002116.7	12	22	10	106	23	19	20	1	15	21
AC002116.8	0	0	0	0	0	0	0	0	0	0
AC002117.1	0	1	5	4	6	8	2	2	6	1
AC002127.2	0	0	0	0	0	0	0	0	0	0
AC002127.4	0	0	0	0	0	0	0	0	0	0
AC002128.5	2	9	3	38	15	26	3	1	9	6
AC002306.1	1	4	2	2	1	2	0	0	1	0
AC002310.10	6	2	1	4	2	2	5	0	2	0
AC002310.12	25	11	26	89	43	44	52	35	67	35
AC002310.13	0	0	0	0	0	0	0	0	0	0
AC002310.14	13	28	75	30	109	298	38	34	138	130
AC002310.17	1	1	2	9	3	1	1	2	2	4
AC002310.7	1	2	2	1	2	4	1	0	6	6
AC002314.4	0	0	0	0	0	0	0	0	0	0
AC002331.1	0	0	1	25	0	0	1	1	1	1
AC002365.5	0	0	0	0	0	5	0	0	3	1
AC002366.1	0	0	0	0	0	0	0	0	0	0
AC002366.3	0	0	0	0	0	0	0	0	0	0
AC002368.4	0	0	0	1	0	0	0	0	2	0
AC002383.2	0	0	0	0	0	0	0	0	0	0
AC002386.1	0	0	0	0	0	0	0	0	0	0
AC002389.1	0	0	0	0	0	0	0	0	0	0
AC002395.1	0	0	0	0	0	0	0	0	0	0
AC002398.11	6	2	1	8	1	0	5	1	1	1
AC002398.12	0	0	3	0	2	8	23	24	4	0
AC002398.13	3	1	4	28	9	25	11	9	19	17
AC002398.9	0	0	1	5	5	0	2	1	2	2
AC002400.1	0	0	2	2	1	1	0	1	3	0
AC002401.1	1	0	1	0	0	0	0	0	0	1
AC002407.1	0	0	0	0	0	0	0	0	0	0
AC002429.1	0	0	0	0	0	0	0	0	0	0
AC002429.4	0	0	0	0	0	0	0	0	0	0
AC002429.5	0	0	0	1	0	0	0	0	0	1
AC002451.3	2	3	2	26	14	10	11	8	20	5
AC002454.1	2	0	1	2	5	4	1	0	3	0
AC002456.2	0	1	2	4	0	0	6	1	0	1
AC002463.3	0	0	0	2	0	0	1	0	1	2
AC002464.1	0	0	0	0	0	0	0	0	0	0
AC002465.2	0	0	0	0	0	0	0	0	0	0
AC002467.7	43	28	45	125	239	118	77	88	83	110
AC002472.11	0	4	0	1	0	0	0	0	0	0
AC002480.2	0	0	0	0	0	0	0	0	1	1
AC002480.3	0	1	5	6	3	8	5	1	5	8
AC002480.4	0	0	1	0	0	2	0	0	0	0
AC002480.5	0	1	2	1	2	2	1	0	13	1
AC002486.2	0	0	0	0	0	0	0	0	0	0
AC002486.3	0	0	0	0	1	0	0	0	0	0
AC002511.2	1	5	6	9	0	50	23	8	35	9
AC002511.3	0	4	6	4	0	56	28	8	32	17
AC002519.6	1	4	2	1	2	1	1	0	2	1
AC002519.8	0	1	1	3	1	2	1	2	2	3
AC002523.1	0	0	0	0	0	0	0	0	0	0
AC002530.1	0	0	0	0	0	0	0	0	0	0
AC002539.1	0	0	0	0	1	0	0	0	0	0
AC002539.2	0	0	0	0	0	0	0	0	0	0
AC002542.2	0	0	0	1	0	0	0	0	0	0
AC002543.2	0	0	1	3	0	0	0	0	1	1
AC002550.5	0	0	0	0	0	0	0	0	1	0
AC002550.6	2	2	2	3	7	21	2	1	12	12
AC002551.1	0	0	0	0	0	1	0	0	0	0
AC002553.4	0	0	0	0	0	0	0	0	0	0
AC002558.1	0	0	0	0	0	0	0	0	0	0
AC002978.1	0	0	0	0	0	0	0	0	0	0
AC002979.1	0	0	0	0	0	0	0	0	0	0
AC002981.1	0	0	0	0	0	0	0	0	0	0
AC002984.2	0	0	2	4	1	2	1	2	0	1
AC002985.3	0	2	0	0	1	0	0	0	0	0
AC003001.1	0	0	0	0	0	0	0	0	0	0
AC003002.4	0	0	0	0	0	0	0	0	0	0
AC003002.6	0	1	0	2	2	1	7	1	5	5
AC003003.5	0	0	14	9	0	4	4	0	9	0
AC003005.2	0	0	0	4	2	2	0	0	0	0
AC003005.4	0	0	0	0	0	0	0	0	0	0
AC003006.1	0	0	1	2	6	0	0	0	0	1
AC003006.7	0	1	0	8	0	0	0	1	0	0
AC003009.1	0	0	0	0	0	0	0	0	0	0
AC003045.1	0	0	0	0	0	0	0	0	0	0
AC003075.4	3	2	14	43	24	14	16	9	12	10
AC003080.4	0	1	0	1	0	0	0	0	0	1
AC003084.2	0	0	0	0	0	0	0	0	0	0
AC003088.1	0	0	0	1	0	0	0	1	0	0
AC003090.1	7	1	8	7	26	40	37	36	32	9
AC003092.1	1	0	0	1	1	0	0	3	2	0
AC003092.2	0	0	0	0	0	0	0	1	0	0
AC003101.1	0	0	0	0	0	0	0	0	0	0
AC003104.1	0	1	0	4	1	2	0	1	2	2
AC003658.1	0	0	0	0	0	0	0	0	0	0
AC003664.1	0	0	0	0	0	0	0	0	1	0
AC003666.1	0	0	0	0	0	0	0	0	0	0
AC003681.1	0	0	0	0	0	0	0	0	0	0
AC003682.16	0	0	0	0	0	2	0	1	0	0
AC003682.17	0	0	1	2	0	2	1	0	0	0
AC003688.1	1	0	0	0	0	1	1	1	2	0
AC003956.1	1	3	4	9	3	14	1	3	4	0
AC003958.2	0	0	0	0	18	0	0	0	0	0
AC003958.6	0	0	0	0	0	0	0	0	0	0
AC003968.1	0	0	0	0	0	0	0	0	0	0
AC003973.1	0	0	0	0	0	0	0	0	0	0
AC003973.3	0	0	7	6	7	11	13	24	26	8
AC003973.4	0	0	0	0	0	0	0	0	0	0
AC003973.5	0	0	0	0	0	0	0	0	0	0
AC003984.1	0	0	0	0	0	0	2	0	0	0
AC003985.1	0	0	0	0	1	1	0	0	0	0
AC003986.5	0	0	0	0	0	1	0	0	0	0
AC003986.6	1	0	1	2	1	1	0	1	0	0
AC003986.7	0	0	0	1	0	0	1	0	0	0
AC003988.1	0	0	0	0	0	0	0	0	0	0
AC003989.3	0	0	0	0	1	0	0	0	0	0
AC003989.4	0	0	0	0	0	0	0	0	1	0
AC003991.3	0	1	7	22	8	69	22	11	79	60
AC004000.1	0	2	0	0	0	0	2	0	0	0
AC004000.2	0	0	0	0	0	0	0	0	0	0
AC004004.2	0	0	0	0	0	0	0	0	0	0
AC004006.2	0	0	0	0	0	0	0	0	0	0
AC004009.1	0	0	0	7	0	0	0	0	0	0
AC004009.2	0	0	0	3	0	0	1	2	0	0
AC004009.3	12	0	0	51	0	0	1	2	1	1
AC004012.1	12	0	2	2	1	7	3	0	1	0
AC004014.3	0	0	0	0	0	0	0	0	0	0
AC004014.4	0	1	2	0	0	0	0	0	0	0
AC004016.1	0	0	0	0	0	0	0	0	0	0
AC004019.10	0	0	2	0	0	0	0	1	0	0
AC004019.13	0	0	0	2	2	4	4	0	2	1
AC004022.7	0	0	0	0	0	0	0	0	0	0
AC004022.8	0	0	0	0	1	0	0	0	0	0
AC004041.2	2	1	5	1	1	10	1	0	11	3
AC004051.2	0	0	0	0	0	2	0	0	0	0
AC004052.1	0	0	0	0	0	0	0	0	0	0
AC004053.1	0	1	0	1	0	2	3	1	2	1
AC004053.2	0	0	0	0	0	0	0	0	0	0
AC004054.1	0	0	0	0	0	0	0	0	0	0
AC004057.1	0	0	2	4	2	2	4	4	4	8
AC004062.2	0	0	0	0	0	0	0	0	0	0
AC004063.1	0	0	0	0	0	1	0	1	0	0
AC004066.2	0	0	4	0	3	2	0	0	0	0
AC004066.3	2	2	0	6	27	10	14	2	12	3
AC004067.5	0	2	4	24	10	10	14	7	29	19
AC004069.1	0	0	0	0	0	0	0	0	0	0
AC004069.2	3	3	3	5	6	2	3	2	5	2
AC004070.1	0	0	0	0	0	0	0	0	0	0
AC004074.4	0	0	0	0	0	0	0	0	0	0
AC004076.5	4	5	6	24	29	28	7	10	16	5
AC004076.7	0	6	0	5	5	1	1	1	4	1
AC004076.9	0	1	1	1	6	1	1	0	1	0
AC004079.1	0	0	0	0	0	0	0	0	0	0
AC004108.1	0	0	1	0	0	0	0	0	0	0
AC004112.4	0	0	2	1	5	3	0	1	7	0
AC004112.5	0	0	0	0	0	0	0	0	0	0
AC004112.7	0	1	0	0	1	0	0	0	0	0
AC004125.3	0	0	0	0	0	0	0	0	0	0
AC004129.7	0	0	0	0	0	0	0	0	0	0
AC004129.9	5	10	3	6	1	0	1	0	0	0
AC004156.3	4	10	1	5	3	1	0	5	4	1
AC004158.1	0	0	0	0	0	0	0	0	1	0
AC004158.3	0	0	1	1	0	0	1	0	2	0
AC004159.1	0	1	0	1	0	0	1	0	0	0
AC004160.4	0	0	1	3	0	2	0	1	2	0
AC004166.6	0	4	12	38	19	8	18	17	23	9
AC004221.2	2	0	0	0	0	0	0	1	2	0
AC004231.2	7	4	12	2	62	0	1	3	0	0
AC004237.1	0	0	0	4	2	2	0	0	2	0
AC004257.1	0	1	0	1	0	0	0	0	1	0
AC004381.6	46	28	90	273	107	170	153	106	160	255
AC004381.7	0	0	1	0	1	5	0	1	3	1
AC004383.3	0	1	1	9	2	3	0	0	1	1
AC004386.3	0	0	0	0	0	0	0	0	0	0
AC004386.4	46	33	19	6	3	1	7	0	3	1
AC004447.2	70	257	157	293	348	465	82	82	374	190
AC004448.2	0	0	0	0	0	2	0	1	0	0
AC004448.5	1	1	1	5	0	0	1	1	1	0
AC004449.6	0	2	1	2	3	1	1	0	3	6
AC004453.1	0	0	0	0	0	0	0	0	0	0
AC004453.8	92	303	135	180	114	46	120	50	77	63
AC004458.1	0	0	0	0	0	0	0	0	0	0
AC004460.1	0	0	0	0	0	0	0	0	0	0
AC004461.4	4	2	1	2	0	0	0	1	1	1
AC004470.1	0	0	0	0	0	0	0	0	0	0
AC004471.10	0	1	1	5	2	3	1	1	1	4
AC004471.9	0	3	2	31	9	2	2	4	4	3
AC004477.1	0	0	0	0	0	0	0	0	0	0
AC004485.3	0	0	0	0	0	0	0	0	0	0
AC004490.1	1	3	3	4	1	10	3	1	8	5
AC004492.1	0	0	0	0	0	0	0	0	0	0
AC004510.3	5	0	0	4	1	0	0	0	1	0
AC004520.1	0	0	0	0	0	0	0	0	0	0
AC004535.2	0	0	0	0	0	0	0	0	0	0
AC004538.3	6	0	5	12	0	5	5	1	8	4
AC004540.4	11	0	3	5	46	9	18	13	18	6
AC004540.5	10	6	16	27	24	25	20	20	29	12
AC004541.1	0	0	0	0	0	0	0	0	0	0
AC004543.1	0	0	0	0	0	0	0	0	0	0
AC004543.2	0	0	0	4	1	1	1	1	0	0
AC004549.6	0	0	1	4	2	1	1	5	1	0
AC004552.1	0	0	0	0	0	0	0	0	0	0
AC004593.3	3	8	9	1	232	2	0	0	0	1
AC004595.1	0	0	0	0	0	0	0	0	1	0
AC004603.4	0	0	0	0	0	0	0	0	0	0
AC004623.2	0	0	0	0	0	0	0	0	0	0
AC004623.3	4	14	12	75	9	12	2	3	5	1
AC004637.1	0	5	10	0	0	10	19	15	2	1
AC004655.1	0	0	0	0	0	0	0	0	0	0
AC004656.1	0	0	0	1	0	0	0	0	0	0
AC004673.1	0	0	0	0	0	0	0	0	0	0
AC004687.1	0	0	0	0	0	0	0	0	0	0
AC004691.1	0	0	0	2	0	0	0	1	0	0
AC004691.5	4	1	0	2	1	1	0	2	0	0
AC004692.4	0	0	0	0	0	0	1	0	0	0
AC004692.5	0	1	0	1	0	0	0	0	0	1
AC004699.1	0	0	0	0	0	0	0	0	0	0
AC004702.2	0	0	0	0	1	0	0	0	0	0
AC004744.3	0	0	0	0	0	0	0	0	0	0
AC004745.1	0	0	0	0	0	0	0	0	0	0
AC004754.3	6	19	17	14	21	17	11	11	16	10
AC004769.1	0	0	0	0	0	0	0	0	0	0
AC004775.5	1	0	1	0	0	2	1	1	0	0
AC004791.2	6	0	0	2	0	0	0	3	0	3
AC004812.1	0	0	0	2	0	0	0	0	0	0
AC004813.1	0	0	0	0	0	0	0	0	0	0
AC004816.1	0	0	0	0	0	0	0	0	0	0
AC004819.1	0	0	0	0	0	0	0	0	0	0
AC004824.1	0	0	0	0	0	0	0	0	0	0
AC004824.2	0	0	0	0	0	0	0	0	0	0
AC004832.1	0	0	0	0	0	0	0	0	0	0
AC004837.1	0	0	0	0	0	0	0	0	0	0
AC004837.3	0	0	0	0	0	0	0	0	0	0
AC004837.4	0	0	0	0	0	0	0	0	0	0
AC004837.5	2	1	8	5	15	4	2	1	4	3
AC004840.8	0	1	0	1	0	1	0	0	1	0
AC004846.1	0	1	0	1	1	4	0	1	0	0
AC004850.1	0	0	0	0	0	0	0	0	0	0
AC004854.4	0	0	1	4	2	0	4	0	0	3
AC004854.5	0	1	0	1	1	1	2	0	0	0
AC004862.6	0	0	0	0	0	0	0	0	0	0
AC004866.1	0	0	0	0	0	0	0	0	0	0
AC004866.3	0	0	0	0	0	0	0	0	0	0
AC004869.2	0	0	0	0	0	0	0	0	0	0
AC004869.3	0	0	0	0	0	0	0	0	0	0
AC004870.3	0	0	0	0	0	0	0	0	0	0
AC004870.4	0	0	5	18	0	14	12	5	18	18
AC004870.5	1	1	0	1	0	0	0	1	0	0
AC004875.1	0	0	0	0	0	0	0	0	0	0
AC004878.2	0	0	0	0	0	0	0	0	0	0
AC004878.8	0	0	0	0	0	0	0	0	0	0
AC004893.10	0	4	4	3	2	3	0	0	3	1
AC004893.11	26	35	64	149	75	207	60	64	225	104
AC004895.1	0	0	1	0	0	0	0	0	0	0
AC004895.4	0	1	1	9	3	1	1	1	4	1
AC004899.3	0	0	0	0	0	0	0	0	0	0
AC004901.1	0	0	0	0	0	0	0	1	0	0
AC004906.3	0	0	1	1	0	1	0	0	3	0
AC004911.2	0	1	1	0	0	0	0	0	0	0
AC004915.1	0	0	0	0	0	0	0	0	0	0
AC004920.2	0	2	1	1	1	0	0	1	0	0
AC004920.3	0	0	0	0	0	0	0	0	0	0
AC004924.1	0	0	1	2	2	1	1	1	7	2
AC004932.1	1	5	4	11	4	3	0	2	1	3
AC004938.5	0	1	0	2	0	0	0	0	0	0
AC004941.3	0	0	0	0	0	0	1	0	0	0
AC004941.5	0	0	0	0	0	0	0	0	0	0
AC004943.1	0	0	0	0	0	0	0	0	0	0
AC004945.1	0	0	0	0	0	0	0	0	0	0
AC004946.1	0	0	0	0	0	0	0	0	0	0
AC004947.2	0	0	4	2	1	13	39	27	37	17
AC004951.5	6	9	5	28	16	22	13	20	24	13
AC004951.6	0	4	3	15	4	15	5	5	11	10
AC004953.1	0	0	0	0	0	0	0	0	0	0
AC004967.7	71	18	72	177	160	78	53	31	66	46
AC004969.1	0	0	0	1	0	1	0	0	0	0
AC004980.1	0	0	0	0	0	0	0	0	0	0
AC004980.10	5	0	5	99	32	4	7	3	5	3
AC004980.11	0	0	0	1	0	0	0	1	0	0
AC004980.7	22	18	45	137	116	49	40	37	87	41
AC004980.8	0	0	0	1	0	0	0	0	0	0
AC004980.9	0	1	1	2	0	2	4	1	0	0
AC004984.1	0	0	0	0	0	0	0	0	0	0
AC004985.12	0	21	4	19	6	12	5	2	10	5
AC004987.10	0	0	0	0	0	0	0	0	0	0
AC004987.9	5	22	26	35	38	38	41	31	59	72
AC004988.1	2	0	11	11	7	2	2	0	1	0
